Tool_name_en,Tool_name_zh,size,release_date,download
OceanStor Toolkit V2R3C00RC3.zip,[工具包]Toolkit中国区版本安装包（仅限中国区使用）,347.32MB,2017/12/04,1067
OceanStor Toolkit V2R3C00RC3_Tool_CollectDeviceArchivesG2.zip,[工具包]设备档案收集,26.09MB,2017/12/04,575
OceanStor Toolkit V2R3C00RC3_Tool_DeviceCabelDetect.zip,[工具包]线缆检查工具,26.58MB,2017/12/04,90
OceanStor Toolkit V2R3C00RC3_Tool_DiskHealthAnalysis.zip,[工具包]硬盘健康分析,12.53MB,2017/12/04,630
OceanStor Toolkit V2R3C00RC3_Tool_InfoCollect.zip,[工具包]信息收集,30.34MB,2017/12/04,703
OceanStor Toolkit V2R3C00RC3_Tool_InfoGrab.zip,[工具包]InfoGrab,39.30MB,2017/12/04,677
OceanStor Toolkit V2R3C00RC3_Tool_Inspection.zip,[工具包]巡检,86.12MB,2017/12/04,997
OceanStor Toolkit V2R3C00RC3_Tool_RemoteService.zip,[工具包]远程服务工具,135.94MB,2017/12/04,24
OceanStor Toolkit V2R3C00RC3_Tool_UpgradeEvaluation(G2).zip,[工具包]升级评估G2,79.81MB,2017/12/04,710
OceanStor Toolkit V2R3C00RC3_Tool_cru.zip,[工具包]CRU更换,499.42MB,2017/12/04,276
